Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
Browsi,https://finder.startupnationcentral.org/company_page/browsi,Mobile Web Ad Placement,Retail & Marketing,2015,Nov-50,Seed,10693782
Trustmi.ai,https://finder.startupnationcentral.org/company_page/trustmi-ai,End-to-end Payments Security Platform,Security Technologies,2021,Nov-50,A,96136879
Mobius Gaming,https://finder.startupnationcentral.org/company_page/mobius-gaming,Gamer-focused Platform,Content & Media,2022,01-Oct,Seed,88679391
Neolithics,https://finder.startupnationcentral.org/company_page/neolithics,Quality Control Solution for Fresh Produce,AgriFood-tech & Water,2021,Nov-50,Seed,65422777
Watersight,https://finder.startupnationcentral.org/company_page/watersight,AI-powered Water Monitoring System,AgriFood-tech & Water,2021,01-Oct,Pre-Funding,74046262
Housetable,https://finder.startupnationcentral.org/company_page/housetable,AI-powered Lending for Low-interest Home Renovation Loans ,FinTech,2021,Nov-50,Seed,72738852
Vi Labs,https://finder.startupnationcentral.org/company_page/vi-labs,AI as a Service for Digital Health Companies,Life Sciences & HealthTech,2011,201-500,A,2361966
DOGTV,https://finder.startupnationcentral.org/company_page/dogtv,Live-streaming TV Channel for Dogs,Content & Media,2009,Nov-50,Pre-Funding,503755
Snappy Gifts,https://finder.startupnationcentral.org/company_page/snappy-gifts,Corporate Gifting Platform,Content & Media,2015,201-500,C,7600452
Deeyook Location Technologies,https://finder.startupnationcentral.org/company_page/deeyook,Indoor and Outdoor Positioning Solution,Smart Mobility,2017,Nov-50,Seed,17894906
Openeyes,https://finder.startupnationcentral.org/company_page/openeyes,Commercial Automotive Insurance for Fleets,FinTech,2020,Nov-50,A,86437706
AlgoSec,https://finder.startupnationcentral.org/company_page/algosec,Business-driven Network Security Management,Security Technologies,2004,201-500,Mature,151058
RenalSense,https://finder.startupnationcentral.org/company_page/renalsense,Real-time Renal Diagnostics,Life Sciences & HealthTech,2009,Nov-50,A,10424427
RadGreen,https://finder.startupnationcentral.org/company_page/radgreen,Building Health & Efficiency Management Solution,Industrial Technologies,2016,01-Oct,Pre-Funding,9176365
Swish.ai,https://finder.startupnationcentral.org/company_page/deepcoding,IT Delivery Intelligence Platform,"Enterprise, IT & Data Infrastructure",2018,Nov-50,A,18790086
ResMetrix Medical,https://finder.startupnationcentral.org/company_page/resmetrix-medical,Wearable Respiratory Monitoring System,Life Sciences & HealthTech,2017,01-Oct,Seed,18932114
Capitolis,https://finder.startupnationcentral.org/company_page/capitolis,Technology for Global Capital Markets,FinTech,2017,51-200,D,18124548
venn,https://finder.startupnationcentral.org/company_page/venn-city,Urban Neighborhood Development Platform,Content & Media,2016,51-200,B,11003678
Medi-Tate,https://finder.startupnationcentral.org/company_page/medi-tate,Treatment for Urethral and Prostate Diseases,Life Sciences & HealthTech,2007,Nov-50,Mature,10291149
LSports,https://finder.startupnationcentral.org/company_page/lsports,Real-time Sports Data Solutions,"Enterprise, IT & Data Infrastructure",2011,51-200,Mature,3081846
Qwilt,https://finder.startupnationcentral.org/company_page/qwilt,Universal Video Delivery Platform,Content & Media,2010,201-500,E,1387152
Tres.finance,https://finder.startupnationcentral.org/company_page/tres-finance,Web3 Financial Management Platform,"Enterprise, IT & Data Infrastructure",2022,Nov-50,Seed,85408840
WiFi Map,https://finder.startupnationcentral.org/company_page/wifi-map,Crowdsourced Wi-Fi Locator App,Retail & Marketing,2014,Nov-50,Pre-Funding,3727390
Arbox,https://finder.startupnationcentral.org/company_page/arbox,"Management Platform for Fitness, Wellness, Teaching, and Courses","Enterprise, IT & Data Infrastructure",2015,Nov-50,A,10970964
ControlUp,https://finder.startupnationcentral.org/company_page/controlup,Server Management Console,"Enterprise, IT & Data Infrastructure",2008,201-500,D,295466
CarobWay,https://finder.startupnationcentral.org/company_page/carobway,Carob-based Products,AgriFood-tech & Water,2020,01-Oct,Pre-Funding,71258820
Cust2Mate,https://finder.startupnationcentral.org/company_page/cust2mate,Smart Shopping Carts,Retail & Marketing,2013,Nov-50,Mature,27041802
Refine Intelligence,https://finder.startupnationcentral.org/company_page/refine-intelligence,Platform for Combating Money Laundering,Security Technologies,2022,01-Oct,Seed,83013960
eezyimport,https://finder.startupnationcentral.org/company_page/eezyimport,Online Customs Clearance Platform,FinTech,2018,01-Oct,Seed,18466614
Permit.io,https://finder.startupnationcentral.org/company_page/authorizon-technologies,Full Stack Permissions as a Service,Security Technologies,2021,Nov-50,Seed,72387999
Tonara,https://finder.startupnationcentral.org/company_page/tonara,Music Education Platform and Marketplace,Content & Media,2008,Nov-50,B,2436537
DeviceTotal,https://finder.startupnationcentral.org/company_page/arcusteam,Enterprise Device Security SaaS Solution,Security Technologies,2018,Nov-50,Seed,12978398
Serenno Medical,https://finder.startupnationcentral.org/company_page/serenno-medical,Kidney Health Monitoring,Life Sciences & HealthTech,2017,01-Oct,A,18208494
Audioburst,https://finder.startupnationcentral.org/company_page/audioburst,AI-based Voice Search Platform,Content & Media,2015,Nov-50,A,9483589
keepMED,https://finder.startupnationcentral.org/company_page/ninox-medical,Device for Treatment of Obstructive Sleep Apnea,Life Sciences & HealthTech,2012,Nov-50,C,9418724
Sling,https://finder.startupnationcentral.org/company_page/sling-1,Cyber Insurance for Organizations,Security Technologies,2021,Nov-50,Seed,74986121
Parametrix Insurance,https://finder.startupnationcentral.org/company_page/parametrix,Parametric Insurance for IT Downtime,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,13036577
Canditech,https://finder.startupnationcentral.org/company_page/canditech,AI-powered Assessment Platform for Job Candidates,"Enterprise, IT & Data Infrastructure",2019,01-Oct,Seed,37414372
Idomoo,https://finder.startupnationcentral.org/company_page/idomoo,Personalized Video Platform,Retail & Marketing,2007,51-200,Public,668859
Allot,https://finder.startupnationcentral.org/company_page/allot,Network Intelligence and Security as a Service,Security Technologies,1996,500+,Public,
Briya,https://finder.startupnationcentral.org/company_page/bria-interoperability,Blockchain-based Data Retrieval Platform for Healthcare,Life Sciences & HealthTech,2020,Nov-50,Seed,79982772
Ohh-Medical,https://finder.startupnationcentral.org/company_page/ohh-medical,Home Medical Device for Treating Erectile Dysfunction,Life Sciences & HealthTech,2017,01-Oct,Pre-Funding,79322338
Maverick Medical AI,https://finder.startupnationcentral.org/company_page/maverick-medical-ai,AI-based Autodidactic and Autonomous Medical Coding Platform,Life Sciences & HealthTech,2017,Nov-50,Seed,18799726
Bzigo,https://finder.startupnationcentral.org/company_page/bzigo,Autonomous Mosquito-detection Solution,AgriFood-tech & Water,2016,Nov-50,A,19171210
NANOSONO,https://finder.startupnationcentral.org/company_page/nsc-nano-sono-cooperation,Active Antimicrobial Protection,Industrial Technologies,2015,Nov-50,Seed,37818895
Suridata.ai,https://finder.startupnationcentral.org/company_page/suridata-ai,"No-code SaaS Security, Visibility, and Control",Security Technologies,2019,Nov-50,Seed,34932843
Fornova,https://finder.startupnationcentral.org/company_page/fornova,"Business Intelligence for Travel, Hospitality, and Retail",Retail & Marketing,2008,51-200,C,603615
BiondVax Pharmaceuticals,https://finder.startupnationcentral.org/company_page/biondvax-pharmaceuticals,Nanosized Antibody Therapies ,Life Sciences & HealthTech,2003,Nov-50,Public,725313
ParaSonic,https://finder.startupnationcentral.org/company_page/parasonic,Ultrasound Device for the Elimination of Lice,Life Sciences & HealthTech,2014,01-Oct,Seed,
Elementary Data,https://finder.startupnationcentral.org/company_page/elementary-data,Open-source Data Observability Framework for Data Teams,"Enterprise, IT & Data Infrastructure",2021,01-Oct,Seed,76561188
Ridge,https://finder.startupnationcentral.org/company_page/tectonic,Edge Computing Metacloud,"Enterprise, IT & Data Infrastructure",2018,Nov-50,A,11808567
monogoto,https://finder.startupnationcentral.org/company_page/monogoto,Secure Cellular Connectivity for IoT and Private Networks,Industrial Technologies,2017,Nov-50,Seed,11517116
Perfect,https://finder.startupnationcentral.org/company_page/perfect,AI-powered Recruitment Platform,"Enterprise, IT & Data Infrastructure",2020,Nov-50,Seed,80852639
GABRIEL,https://finder.startupnationcentral.org/company_page/gabriel,Emergency Response and Management,Security Technologies,2016,Nov-50,Seed,27103270
Aposense,https://finder.startupnationcentral.org/company_page/aposense,Drug Delivery via Electrical Nano Motors,Life Sciences & HealthTech,1996,Nov-50,Mature,1833144
The Sustainable Group,https://finder.startupnationcentral.org/company_page/the-sustainable-group,AI-powered Circular Self-sustained Infrastructure,Energy-tech,2017,01-Oct,Pre-Funding,33181539
Neurobrave,https://finder.startupnationcentral.org/company_page/neurobrave,Software Platform for Analyzing Neural Biomarkers/Insights,Life Sciences & HealthTech,2020,Nov-50,Seed,74801038
Cognyte,https://finder.startupnationcentral.org/company_page/cognyte,AI-based Security Analytics for Enterprises and Governments,Security Technologies,2020,500+,Public,3669
SolAround,https://finder.startupnationcentral.org/company_page/solaround,Bifacial Solar Cell Products,Energy-tech,2015,01-Oct,Seed,17885026
Memphis.dev,https://finder.startupnationcentral.org/company_page/memphis-dev,Open-source Real-time Data Processing Platform,"Enterprise, IT & Data Infrastructure",2022,Nov-50,Seed,80268679
Frontegg,https://finder.startupnationcentral.org/company_page/frontegg,Enterprise Platform for SaaS Applications,"Enterprise, IT & Data Infrastructure",2019,51-200,B,29365766
Sequentify,https://finder.startupnationcentral.org/company_page/sequentify,Next-generation Targeted DNA Sequencing,Life Sciences & HealthTech,2021,Nov-50,Seed,69241268
miRobot,https://finder.startupnationcentral.org/company_page/mirobot,Robotic Milking Solution,AgriFood-tech & Water,2011,01-Oct,Seed,34701689
Intango,https://finder.startupnationcentral.org/company_page/intango,Digital Advertising Platform,Retail & Marketing,2007,51-200,Mature,10482132
HealthWatch,https://finder.startupnationcentral.org/company_page/healthwatch,Garments with Sensors for Monitoring Vital Signs,Life Sciences & HealthTech,2010,01-Oct,B,12899343
Amobee,https://finder.startupnationcentral.org/company_page/amobee,Cross-channel Digital Marketing Solutions ,Retail & Marketing,2005,500+,Mature,167080
Access Fintech,https://finder.startupnationcentral.org/company_page/access-fintech,Cloud-based Platform for Post-trade Processing,FinTech,2016,51-200,C,7941391
Kaholo,https://finder.startupnationcentral.org/company_page/kaholo,Product Pipeline Automation Platform,"Enterprise, IT & Data Infrastructure",2018,Nov-50,Seed,11839051
Body Vision Medical,https://finder.startupnationcentral.org/company_page/body-vision-medical,Intraoperative 3D Imaging to Maximize Diagnostic Yield,Life Sciences & HealthTech,2014,51-200,C,10175076
EyeKnow AI,https://finder.startupnationcentral.org/company_page/eyeknow-ai,Protecting the vulnerable and carers from violence using predictive AI and security cameras,Security Technologies,2021,01-Oct,Pre-Seed,64698481
accSenSe,https://finder.startupnationcentral.org/company_page/accsense,Cloud Identity Access Management System Recovery Solution,Security Technologies,2020,Nov-50,Seed,73986084
Cham Foods,https://finder.startupnationcentral.org/company_page/cham-food,Food Ingredients and Dry Meals,AgriFood-tech & Water,1970,Nov-50,Mature,6944404
Singular,https://finder.startupnationcentral.org/company_page/singular,Unified Marketing Analytics Platform,Retail & Marketing,2014,201-500,B,3739623
Atlantium Technologies,https://finder.startupnationcentral.org/company_page/atlantium,UV Disinfection Systems for Water Treatment,AgriFood-tech & Water,1997,51-200,Mature,72888
QuantalX NeuroScience,https://finder.startupnationcentral.org/company_page/nibs-neuroscience-technologies,Direct Functional Brain Imaging,Life Sciences & HealthTech,2014,01-Oct,Pre-Funding,77652362
FuturaGene,https://finder.startupnationcentral.org/company_page/futuragene,Genes to Improve Plant Yields,AgriFood-tech & Water,1993,51-200,Mature,1698388
Bountica,https://finder.startupnationcentral.org/company_page/bountica,Protecting Perishable Foods and Beverages,AgriFood-tech & Water,2021,01-Oct,Seed,74980435
Kahun Medical,https://finder.startupnationcentral.org/company_page/kahun-medical,Evidence-based Clinical Reasoning Engine,Life Sciences & HealthTech,2018,Nov-50,Seed,35459526
Skyline AI,https://finder.startupnationcentral.org/company_page/skyline-ai,AI Real Estate Investment Platform,FinTech,2014,Nov-50,Mature,17972616
iPIPE,https://finder.startupnationcentral.org/company_page/ipipe, Water Pipelines Inspection System,Industrial Technologies,2017,01-Oct,Pre-Funding,30147401
Anima App,https://finder.startupnationcentral.org/company_page/anima-app,Design to Development Platform,"Enterprise, IT & Data Infrastructure",2016,Nov-50,A,17912357
Fize Medical,https://finder.startupnationcentral.org/company_page/fize-medical,Bladder Management Platform,Life Sciences & HealthTech,2011,Nov-50,A,65312656
Innplay Labs,https://finder.startupnationcentral.org/company_page/innplay-labs,Mobile Gaming Studio,Content & Media,2019,Nov-50,A,28864479
SundaySky,https://finder.startupnationcentral.org/company_page/sundaysky,Personalized Video Marketing,Retail & Marketing,2006,51-200,Mature,96089
Enzootic,https://finder.startupnationcentral.org/company_page/enzootic,All-female Shrimp Aquaculture,AgriFood-tech & Water,2012,Nov-50,Seed,10453527
Gavan,https://finder.startupnationcentral.org/company_page/gavan,Plant-based Multi-functional Fat Solution,AgriFood-tech & Water,2018,01-Oct,Pre-Funding,22460048
Voyager Labs,https://finder.startupnationcentral.org/company_page/voyager-labs,AI-based Behavioral Analytics,Security Technologies,2012,51-200,Mature,6426008
Engageli,https://finder.startupnationcentral.org/company_page/engageli,Digital Learning Platform for Higher Education,Content & Media,2020,51-200,A,66705032
MOV.AI,https://finder.startupnationcentral.org/company_page/mov-ai,Operating System for Collaborative Industrial Robots,Industrial Technologies,2016,Nov-50,B,15232836
PolyPid,https://finder.startupnationcentral.org/company_page/polypid,PolymerLipid Encapsulation Technology,Life Sciences & HealthTech,2008,51-200,Public,3835371
PandoLogic,https://finder.startupnationcentral.org/company_page/pandologic,Programmatic Talent Acquisition Platform,Retail & Marketing,2007,51-200,Mature,325369
WeTrip,https://finder.startupnationcentral.org/company_page/weski,Ski Holiday Booking App,Retail & Marketing,2016,Nov-50,Seed,10695873
DEEP IT,https://finder.startupnationcentral.org/company_page/deep-it-ltd,Content Solutions for Entertainment News,Content & Media,2014,01-Oct,A,10372145
Holisto,https://finder.startupnationcentral.org/company_page/splitty-travel,Online Hotel-booking Platform,Content & Media,2015,51-200,A,10340686
Matics,https://finder.startupnationcentral.org/company_page/matics,Real-time Manufacturing Analytics and MES Software,Industrial Technologies,1999,Nov-50,A,387893
DIO TREE,https://finder.startupnationcentral.org/company_page/dio-tree,Molecule for the Treatment of Ovarian Cancer,Life Sciences & HealthTech,2022,01-Oct,Pre-Seed,90779409
Dasyo Technologies,https://finder.startupnationcentral.org/company_page/dasyo-technologies,Skin-tightening Device,Life Sciences & HealthTech,2015,01-Oct,Seed,66223042
SmarTap,https://finder.startupnationcentral.org/company_page/smartap,Smart Connected Shower,AgriFood-tech & Water,2010,Nov-50,Mature,3145504
SafeBreach,https://finder.startupnationcentral.org/company_page/safebreach,Breach and Attack Simulation,Security Technologies,2014,51-200,D,9398701
MinInvasive,https://finder.startupnationcentral.org/company_page/mininvasive,Arthroscopic Device for Rotator Cuff Repair ,Life Sciences & HealthTech,2010,01-Oct,C,33452930
Spider AI,https://finder.startupnationcentral.org/company_page/spider-ai,Autonomous Piece Picking for Online Grocery Orders,Retail & Marketing,2019,01-Oct,Seed,71271664
Buywith,https://finder.startupnationcentral.org/company_page/fly-ai,Social Tool for eCommerce,Retail & Marketing,2017,Nov-50,Seed,18018554
Atmosec,https://finder.startupnationcentral.org/company_page/atmosec,SaaS Ecosystem Security,Security Technologies,2021,Nov-50,Seed,77023223
NOON Aesthetics,https://finder.startupnationcentral.org/company_page/noon-aesthetics,Skincare Products,Life Sciences & HealthTech,2012,Nov-50,Pre-Funding,27166555
Trusstor,https://finder.startupnationcentral.org/company_page/trusstor1,AI-based Construction Management System,Industrial Technologies,2019,01-Oct,Seed,15821284
ezbob,https://finder.startupnationcentral.org/company_page/ezbob,Modular and End-to-end Digital Lending Solutions,FinTech,2011,51-200,C,2646245
Protalix BioTherapeutics,https://finder.startupnationcentral.org/company_page/protalix,Plant-based Proteins with Improved Therapeutic Profiles,Life Sciences & HealthTech,1994,201-500,Public,739969
Algatechnologies,https://finder.startupnationcentral.org/company_page/algatechnologies,Commercial Cultivation of Micro-algae,AgriFood-tech & Water,1998,Nov-50,Mature,2447089
Everysight,https://finder.startupnationcentral.org/company_page/everysight,Smartglasses for Cyclists,Content & Media,2014,Nov-50,Seed,9495827
Evermile,https://finder.startupnationcentral.org/company_page/evermile,Local Delivery Platform,Smart Mobility,2022,Nov-50,Seed,82588305
Bara Herbs,https://finder.startupnationcentral.org/company_page/bara-herbs,Herbal Medicinal Products,Life Sciences & HealthTech,2006,01-Oct,Pre-Funding,30705824
MyPart,https://finder.startupnationcentral.org/company_page/mypart,Song Search and Matching Platform,Content & Media,2016,Nov-50,Seed,12903457
DentlyTec,https://finder.startupnationcentral.org/company_page/dentlytec,Dental 3D Scanners,Life Sciences & HealthTech,2013,Nov-50,Pre-Funding,10508844
Novella Innovative Technology ,https://finder.startupnationcentral.org/company_page/novella-innovative-technology,Plant Cell Cultures for Mass Production of Cell Suspension,AgriFood-tech & Water,2022,,Pre-Seed,81780877
frontline.io,https://finder.startupnationcentral.org/company_page/frontline-io,3D AR Remote Training & Support,Industrial Technologies,2015,Nov-50,Seed,5205929
BioChange,https://finder.startupnationcentral.org/company_page/biochange,Tissue Regeneration Technology,Life Sciences & HealthTech,2016,Nov-50,Seed,64981522
CardinalOps,https://finder.startupnationcentral.org/company_page/cardinalops,AI-powered Security Engineering,Security Technologies,2020,Nov-50,A,66575494
Lycored,https://finder.startupnationcentral.org/company_page/lycored,"Microencapsulated Carotenoids, Vitamins, and Minerals",AgriFood-tech & Water,1995,51-200,Mature,132386
Humavox,https://finder.startupnationcentral.org/company_page/humavox,Wireless Charging for Wearable and IoT Devices,Industrial Technologies,2010,Nov-50,Seed,1143446
SP Nano,https://finder.startupnationcentral.org/company_page/sp-nano,Nanotechnology-enhanced Composite Materials,Industrial Technologies,2007,01-Oct,B,82592951
Splacer,https://finder.startupnationcentral.org/company_page/splacer,Event Venue Locator,Retail & Marketing,2014,Nov-50,A,5200506
GRIVO,https://finder.startupnationcentral.org/company_page/grivo,Marketplace for Home Chargers,Smart Mobility,2021,01-Oct,Seed,79443368
OutSense Diagnostics,https://finder.startupnationcentral.org/company_page/outsense-diagnostics1,Toilet-based IoT Sensor for Detecting GI Conditions,Life Sciences & HealthTech,2016,01-Oct,Mature,67880845
Pangea,https://finder.startupnationcentral.org/company_page/pangea,"Digital Security, Identity, and Payment Solutions",Security Technologies,1995,51-200,Mature,14042870
Grip Security,https://finder.startupnationcentral.org/company_page/grip-security,SaaS Security Management,Security Technologies,2021,51-200,A,72376695
Roby.ai,https://finder.startupnationcentral.org/company_page/roby-ai,AI Assistant for Property Management,"Enterprise, IT & Data Infrastructure",2018,Nov-50,Seed,18893790
Vectorious Medical Technologies,https://finder.startupnationcentral.org/company_page/vectorious-medical-technologies,Miniature Implant for Left Atrial Monitoring,Life Sciences & HealthTech,2011,51-200,B,5395385
Exaware,https://finder.startupnationcentral.org/company_page/compass-eos,Carrier-grade Routing Solutions,Industrial Technologies,2006,Nov-50,G,12892794
HeraMED,https://finder.startupnationcentral.org/company_page/heramed,Connected Pregnancy Monitoring Solutions for In-home Use,Life Sciences & HealthTech,2011,Nov-50,Public,5047695
VikiSense,https://finder.startupnationcentral.org/company_page/vikisense,Multifactor Biometric Authentication for Physical and Financial Security,Security Technologies,2012,01-Oct,Seed,2687280
Cyber Observer,https://finder.startupnationcentral.org/company_page/observer-technologies,Cyber-security Management and Awareness,Security Technologies,2011,Nov-50,Mature,5022571
Argaman Technologies,https://finder.startupnationcentral.org/company_page/argaman-technologies,Bio-inhibitive Cotton,Industrial Technologies,2012,Nov-50,Seed,18146322
Intimo Medical,https://finder.startupnationcentral.org/company_page/intimo-medical,Novel Intrauterine Device,Life Sciences & HealthTech,2021,01-Oct,Pre-Seed,92486579
Tamar Robotics,https://finder.startupnationcentral.org/company_page/tamar-robotics,Robot for Minimally Invasive Neurosurgery,Life Sciences & HealthTech,2018,Nov-50,Seed,19151121
IntEYE,https://finder.startupnationcentral.org/company_page/inteye,Cyber Threat Intelligence,Security Technologies,2023,01-Oct,Pre-Seed,
Ever After Foods,https://finder.startupnationcentral.org/company_page/ever-after-foods,Cultivated Meat,AgriFood-tech & Water,2022,Nov-50,Seed,90989762
Effectivate,https://finder.startupnationcentral.org/company_page/effectivate,AI-based Computerized Cognitive Training for Older Adults,Life Sciences & HealthTech,2018,Nov-50,Seed,14031459
prooV,https://finder.startupnationcentral.org/company_page/scalabilit,Proof-of-concept Evaluation Platform,"Enterprise, IT & Data Infrastructure",2014,Nov-50,B,10036029
Teridion Technologies,https://finder.startupnationcentral.org/company_page/teridion,Overlay Network Solution for Increased Internet Performance,Industrial Technologies,2013,51-200,C,3165151
Metha Artificial Intelligence,https://finder.startupnationcentral.org/company_page/metha-artificial-intelligence,Personalized Food Supplements for Different Herds,AgriFood-tech & Water,2022,Nov-50,Seed,86835985
Cympire,https://finder.startupnationcentral.org/company_page/cybersage,Disruptive Cyber Attack Simulation Solutions,Security Technologies,2018,Nov-50,Pre-Seed,27209515
ModuLight.bio,https://finder.startupnationcentral.org/company_page/modulight-bio,Optogenetics-based Platform for Neuro-excitatory Conditions,Life Sciences & HealthTech,2022,Nov-50,Seed,
nSure.ai,https://finder.startupnationcentral.org/company_page/nsure,Fraud Protection and Prevention for Digital Goods,FinTech,2019,Nov-50,A,30160132
medcase,https://finder.startupnationcentral.org/company_page/medcase,Global Network for On-demand Access to Medical Expertise,Life Sciences & HealthTech,2017,51-200,A,72077584
BrandShield,https://finder.startupnationcentral.org/company_page/brandshield,Digital Threat Protection for Brands,Security Technologies,2010,51-200,Public,2231196
MASSIVit 3D Printing Technologies,https://finder.startupnationcentral.org/company_page/massivit3d,"Rapid, High-volume 3D Printing Solutions",Industrial Technologies,2013,51-200,Public,9383658
DataPond,https://finder.startupnationcentral.org/company_page/datapond,AI Technology for Real-time Water Contamination Detection,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,82591326
E-FISHient Protein,https://finder.startupnationcentral.org/company_page/e-fishient-protein,Cultured Fish Meat,AgriFood-tech & Water,2021,01-Oct,Pre-Seed,81297657
Kenaf Ventures,https://finder.startupnationcentral.org/company_page/kenaf-ventures,Bio-based Raw Materials,Industrial Technologies,2018,01-Oct,Seed,14792217
Flow,https://finder.startupnationcentral.org/company_page/walkout,Autonomous Checkout Carts,Retail & Marketing,2018,Nov-50,Seed,12627814
Innovative Assessments,https://finder.startupnationcentral.org/company_page/innovative-assessments,Psychometric Credit Scoring,FinTech,2015,01-Oct,Pre-Funding,10379319
Azteculture,https://finder.startupnationcentral.org/company_page/azteculture,Genomic Editing of Domesticated Crop Cultivation,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,83040213
Scala Biodesign,https://finder.startupnationcentral.org/company_page/scala-biodesign,One shot protein design,Life Sciences & HealthTech,2022,01-Oct,Seed,90994251
GreenDays,https://finder.startupnationcentral.org/company_page/greendays,Digital Purchasing Advisor for Solar PV and Energy Storage,Retail & Marketing,2022,01-Oct,Pre-Funding,82144708
Yonalink,https://finder.startupnationcentral.org/company_page/yonalink,Data Management Solutions for Clinical Trials,Life Sciences & HealthTech,2018,Nov-50,Seed,
SparX,https://finder.startupnationcentral.org/company_page/sparx,Customized Visualizations of Residential Properties in Real Time,Retail & Marketing,2020,Nov-50,Seed,65695671
Natural Intelligence,https://finder.startupnationcentral.org/company_page/natural-intelligence,Intent Marketing for Customer Acquisition,Retail & Marketing,2009,201-500,Mature,1901026
Ayala Water & Ecology,https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology,"Solutions for Water, Soil, and Air Pollution",AgriFood-tech & Water,2002,01-Oct,Pre-Funding,18283466
Covercy,https://finder.startupnationcentral.org/company_page/covercy,CRE Investor Management and Banking Platform,FinTech,2015,Nov-50,Seed,5236360
Continual,https://finder.startupnationcentral.org/company_page/continual,Mobility Experience Analytics ,Smart Mobility,2013,Nov-50,Public,3234727
Perfecto Mobile,https://finder.startupnationcentral.org/company_page/perfecto-mobile,Cloud-based Testing Lab for Mobile Apps,Content & Media,2006,51-200,Mature,485728
GreenQ,https://finder.startupnationcentral.org/company_page/greenq1,Optimization and Monitoring of Waste Collection,Smart Mobility,2015,01-Oct,Seed,10072024
Via Surgical,https://finder.startupnationcentral.org/company_page/via-surgical,Transfascial Suture Fixation for Soft-tissue Repair,Life Sciences & HealthTech,2012,Nov-50,A,18721846
Haifa Group,https://finder.startupnationcentral.org/company_page/haifa-group,Plant Nutrition Solutions,AgriFood-tech & Water,1966,201-500,Mature,91414
Growin,https://finder.startupnationcentral.org/company_page/growin,Vertical Aeroponic Farming System,AgriFood-tech & Water,2019,01-Oct,Seed,
COTI,https://finder.startupnationcentral.org/company_page/coti,Comprehensive Blockchain Protocol,FinTech,2017,Nov-50,A,25171228
Plant-Ditech,https://finder.startupnationcentral.org/company_page/plant-ditech,Plant Environment Diagnostics and Generative AI Platform,AgriFood-tech & Water,2016,01-Oct,Pre-Funding,17960823
ReturnGO.ai,https://finder.startupnationcentral.org/company_page/returngo,Technology for Avoiding eCommerce Returns,Retail & Marketing,2020,Nov-50,Seed,67902660
RADCOM,https://finder.startupnationcentral.org/company_page/radcom,5G Network Intelligence for Telecom Operators,"Enterprise, IT & Data Infrastructure",1985,201-500,Public,9630
TAG Medical Products,https://finder.startupnationcentral.org/company_page/tag-medical-products,Medical and Dental Equipment and Implants,Life Sciences & HealthTech,1949,51-200,Mature,2910491
Legit Security,https://finder.startupnationcentral.org/company_page/legit-security,Software Supply Chain Security,Security Technologies,2020,51-200,A,69521390
AiDock,https://finder.startupnationcentral.org/company_page/aidock1,AI Bundle to Automate Import/Export Paperwork-related Tasks,Smart Mobility,2018,Nov-50,A,18864815
Panda Chocolate,https://finder.startupnationcentral.org/company_page/panda-chocolate,Vegan Chocolate,AgriFood-tech & Water,2015,01-Oct,Crowdfunding,
Raycatch,https://finder.startupnationcentral.org/company_page/raycatch,AI-driven PV Portfolio Management,Energy-tech,2015,Nov-50,Mature,10577705
Konnecto,https://finder.startupnationcentral.org/company_page/konnecto,AI-powered Consumer Intelligence Platform,Retail & Marketing,2018,Nov-50,A,10481143
NetOp CLD,https://finder.startupnationcentral.org/company_page/netop-cld,Autonomous Campus Enterprise Network Operations,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,37837961
CrazyLabs,https://finder.startupnationcentral.org/company_page/tabtale,Mobile Game Developer and Publisher,Content & Media,2010,201-500,Mature,1522212
Xsense,https://finder.startupnationcentral.org/company_page/xsense,Real-time Cold Chain Management,AgriFood-tech & Water,2012,Nov-50,Seed,2735347
IntellAct,https://finder.startupnationcentral.org/company_page/intellact,Intelligence Solutions for Ground-handling Services,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,27175538
Clarifruit,https://finder.startupnationcentral.org/company_page/clarifruit,AI-Powered Quality Control Solution for Fresh Produce Supply Chain,AgriFood-tech & Water,2016,Nov-50,A,17964031
Latent Energy,https://finder.startupnationcentral.org/company_page/latent-energy,Waste-derived Green Energy and Resources,Energy-tech,2022,01-Oct,Pre-Seed,
Skelable,https://finder.startupnationcentral.org/company_page/skelable,Wearable Device for Rehabilitation,Life Sciences & HealthTech,2018,01-Oct,Seed,23715819
UniFabriX,https://finder.startupnationcentral.org/company_page/unifabrix,Data Center Optimization Solutions,Industrial Technologies,2020,Nov-50,Seed,54290165
Roboteam,https://finder.startupnationcentral.org/company_page/roboteam,Unmanned Robotic Systems,Security Technologies,2009,51-200,Mature,2701601
Exceed Talent Capital,https://finder.startupnationcentral.org/company_page/exceed-talent-capital,Talent-focused Investment Platform,FinTech,2019,Nov-50,Seed,43332628
OneLayer,https://finder.startupnationcentral.org/company_page/onelayer,Enterprise-grade Security for Private LTE/5G Networks,Security Technologies,2021,51-200,Seed,79975818
